kernel,folder,stage,status,src_files,activated_by,headline,vs_cpu,profile,doc_status,memory_refs
v31-stash,03-forward-geom-stash/v31-stash,forward-geom-stash,VALIDATED,v31_scatter_stash_dm.cpp;v31_scatter_b_stash_dm.cpp,V31_STASH=1 V31_GEOM=1,"stash px.py geom, prep-free backward",prep 4.94->1.2ms,none,DONE,v33_geom_stash_step1;v30_prep_is_redundant
v32-regroup,04-backward-bucketing/v32-regroup,backward-bucketing,VALIDATED,v32_count.cpp;v32_prefix.cpp;v32_place.cpp;v32b_count.cpp;v32b_place.cpp;v32b_place_sorted.cpp;v32c_count.cpp;v32c_place_sorted.cpp;v32d_place.cpp;v32d_prefix.cpp,microbench,0.57/2.55/5.84ms @220K/2.2M/5.5M,clustered==uniform,none,DONE,v32_count_prefix_regroup;v32_e2e_backward_chain
v30-grouping,04-backward-bucketing/v30-grouping,backward-bucketing,VALIDATED,v30_prepcount.cpp;v30_band.cpp;v30_zero.cpp,host/build/v30,bin-owner adaptive grouping,imbal 1.25-1.54x,device-csv-exists,DONE,v30_clustering_verdict
v27-bucket,04-backward-bucketing/v27-bucket,backward-bucketing,VALIDATED,v27_bucket.cpp,microbench,MEASURED 0.793ms vs CPU 5-7ms,0 mismatch,none,DONE-measured,v27_bucketing_scatter
v29-bucketing,04-backward-bucketing/v29-bucketing,backward-bucketing,VALIDATED,v29_prepbucket.cpp;v29_bucket_only.cpp,V29_EF=1,prep+bucket (reads V31 stash),bit-exact,device-csv-exists,DONE,v29_full_pipeline;v29_live_swap
v25-ef-l1gather,05-backward-ef-gather/v25-ef-l1gather,backward-ef-gather,SHIPPED,v25_ef_l1gather.cpp,microbench,"MEASURED 0.422ms ~17x CPU, rel_l2 8.6e-5",19x CPU,none,DONE-measured,v25_ef_l1gather_breakthrough
v28-ef-multibin,05-backward-ef-gather/v28-ef-multibin,backward-ef-gather,VALIDATED,v28_brisc.cpp;v28_compute.cpp;v28_ncrisc.cpp,microbench,"MEASURED 1.676ms all-grids correct, rel_l2 7e-8","2-18x CPU, 5x V21",none,DONE-measured,v28_multibin_ef_gather
v21-ef,05-backward-ef-gather/v21-ef,backward-ef-gather,SHIPPED,v21_ef_brisc.cpp;v21_ef_ncrisc.cpp;v21_ef_compute.cpp;v21_ef_common.h;v21_ef_brisc_v5.cpp;v21_ef_ncrisc_v5.cpp;v21_ef_compute_v5.cpp,V21_EF=1,17.4ms @2048 (bit-exact),1.43x slower CPU; v5/V23 11.2ms,none,DONE,v21_sfpu_brisc_bottleneck;v21_ef_finegrain_starvation;v21_v23_ef_profile;v23_ef_redesign_design
fccs,05-backward-ef-gather/fccs,backward-ef-gather,SHIPPED,fccs_dm.cpp;fccs_gather_brisc.cpp;fccs_live_dm.cpp;fccs_live_stream_dm.cpp;fccs_quant_compute.cpp;fccs_quantize_dm.cpp;fccs_quant_reader.cpp;fccs_quant_writer.cpp;fccs_deinterleave_dm.cpp;fccs_geom_dm.cpp;fccs_sort_dm.cpp,FCCS_EF=1,"MEASURED 1.136ms beats CPU, rel_l2 2.3e-4",beats CPU 17/18,none,DONE-measured,fccs_kernel_built;fccs_live_graft_design;multicast_hangs_bh38_fw1980;fccs_nextgen_backward_design
v26-ef,05-backward-ef-gather/v26-ef,backward-ef-gather,VALIDATED,v26_brisc.cpp;v26_compute.cpp;v26_writer.cpp,microbench,"MEASURED chip 0.783ms (host grouping 26ms), rel_l2 4.6e-8",predecessor to V28,none,DONE-measured,v28_multibin_ef_gather
v30-backward,05-backward-ef-gather/v30-backward,backward-ef-gather,VALIDATED,v30_backward.cpp;v30_atomic.cpp,host/build/v30,"MEASURED 0.696ms, rel_l2 1.6e-4",ties CPU @2048 clustered,device-csv-exists,DONE-measured,v30_clustering_verdict
v29-gather,05-backward-ef-gather/v29-gather,backward-ef-gather,VALIDATED,v29_gather_brisc.cpp,V29_EF=1,MEASURED 10.25ms; standalone rel_l2=nan (band-bucket CHECK),beats CPU core,device-csv-exists,DONE-measured,ef_backward_2x_target;v29_full_pipeline
v31-backward,05-backward-ef-gather/v31-backward,backward-ef-gather,VALIDATED,v31_backward.cpp,V31_STASH=1,no-host backward from stash,converges,none,DONE,v33_geom_stash_step1
v29-writer,06-backward-grad-writeout/v29-writer,backward-grad-writeout,VALIDATED,v29_writer.cpp;v30_readout.cpp,V29_EF/v30,grad emit/readout,part of pipelines,none,DONE,v29_full_pipeline;v30_clustering_verdict
v22-nesterov,07-optimizer-nesterov/v22-nesterov,optimizer,VALIDATED,v22_nesterov_compute.cpp;v22_nesterov_reader.cpp;v22_nesterov_writer.cpp,V22_CHIP_OPT=1,"K1 u/v update, rel_l2<1e-5",validated vs torch,none,DONE,v22_k1_nesterov_microbench;v22_chip_optimizer_engine
v22-elt,07-optimizer-nesterov/v22-elt,optimizer,VALIDATED,v22_clamp_compute.cpp;v22_gradcombine_compute.cpp;v22_precond_compute.cpp;v22_elt_reader.cpp;v22_elt_writer.cpp,V22_CHIP_OPT=1,K2/K3/K4 clamp/combine/precond,rel_l2<1e-5,none,DONE,v22_k2k3k4_elt_microbench
v22-stepsize,07-optimizer-nesterov/v22-stepsize,optimizer,VALIDATED,v22_stepsize_compute.cpp;v22_stepsize_reader.cpp;v22_stepsize_writer.cpp,V22_CHIP_OPT=1,K5 Barzilai-Borwein step 0.06-0.17ms,rel<2e-7,none,DONE,v22_k5_stepsize
dct-solve,08-dct-solve/dct-solve,dct-solve,SHIPPED,(host TTNNDCTSolver in v19_engine.cpp),default(no CPU_DCT),chip DCT 0.72-1.08ms @512,beats CPU DCT 2.07ms,host-only,DONE,dreamplacett_validated_512;dreamplacett_standalone_folder
atomic-bench,99-infra-probes/atomic-bench,infra,INFRA,atomic_bench_brisc.cpp;atomic_bench_ncrisc.cpp,microbench,atomic contention study,lesson: use noc_semaphore_inc,none,DONE,atomic_fetchadd_contention_deadlock
mcast-bw,99-infra-probes/mcast-bw,infra,INFRA,mcast_bw_dm.cpp,microbench,multicast ~13.5 GB/s,unblocked FCCS,none,DONE,multicast_hangs_bh38_fw1980
v11op-bench,99-infra-probes/v11op-bench,infra,INFRA,v11op_bench_brisc.cpp;v11op_bench_compute.cpp;v11op_bench_ncrisc.cpp,microbench,SFPU outer-product 12.4ns/cell,shipped as v11_outer,none,DONE,v11_stage_bprime_outer_product
v16-probes,99-infra-probes/v16-probes,infra,REFUTED,v16_dst_probe_brisc.cpp;v16_dst_probe_compute.cpp;v16_dst_probe_ncrisc.cpp;v16_sec1_probe_brisc.cpp;v16_sec1_probe_compute.cpp;v16_sec1_probe_ncrisc.cpp;v16_sfpu_bench_brisc.cpp;v16_sfpu_bench_compute.cpp;v16_sfpu_bench_ncrisc.cpp,microbench,SrcB-transpose dead on Blackhole,lesson: DST register layout,device-csv-exists,DONE,v16_dst_register_layout;v16_option_a_outcome
v13-smokes,99-infra-probes/v13-smokes,infra,INFRA,v13_matmul_smoke_compute.cpp;v13_matmul_smoke_reader.cpp;v13_matmul_smoke_writer.cpp;v13_mcast_smoke_dm.cpp;v13_pack_bench_brisc.cpp;v13_pack_bench_ncrisc.cpp;v13_void_brisc.cpp;v13_accum_brisc.cpp;v13_accum_compute.cpp;v13_accum_ncrisc.cpp;v13_llk_unpack_paired.h,microbench,FPU bring-up smokes,lessons,device-csv-exists,DONE,
v20-permute,99-infra-probes/v20-permute,infra,SUPERSEDED,v19_mb_permute_brisc.cpp;v19_mb_permute_ncrisc.cpp;v19_mb_permute_common.h;v19_mb_scatter_block_ncrisc.cpp;v19_mb_scatter_ncrisc.cpp;v19_mb_combined_ncrisc.cpp;v19_mb_writeout_dense_brisc.cpp;v19_mb_void_brisc.cpp;v19_mb_zero_ncrisc.cpp,microbench,chip-permute experiments,V20 fastpath shipped via host OMP,none,DONE,v20_chip_permute_handoff
v35-halotile,05-backward-ef-gather/v35-halotile,backward-ef-gather,VALIDATED,v35_host.cpp;v28_brisc.cpp;v28_compute.cpp;v28_ncrisc.cpp,microbench (v35),"MEASURED 2.18ms@a1_2048 / 6.12ms@bb3_2048, bit-exact rel_l2 7e-8, clustering-immune","beats CPU 17/18 (avg 2x, 3.6x @a3_2048); 5-18x faster than FCCS @large grids",sweep_18config.csv,DONE-measured,v35_halotile_backward
